PLAYER_NAME,HP_PCT,ATTACK_PCT,DEFENSE_PCT,SPATK_PCT,SPDEF_PCT,SPEED_PCT,EUCLIDEAN_MATCH,EUCLIDEAN_DIST,COSINE_MATCH,COSINE_SIM
Byron Scott,47.01534963047186,55.59977259806709,56.16827743035816,51.90449118817509,33.71233655486071,50.71063104036384,Mightyena,16.37518120240217,Salamence (Mega Salamence),0.9968994733001375
Grant Long,58.63627640890778,21.560041318494758,59.51816370799816,38.75315222438898,65.47137648856308,25.582987956450417,Carkol,23.95993372774188,Audino (Mega Audino),0.9975580609153102
Dan Schayes,36.95093304933976,31.168282092056035,63.80181477248991,19.93948429374673,49.284967118119525,5.155331262820405,Naclstack,23.106537441033414,Ferrothorn,0.9910394922812843
Eric Piatkowski,55.0523458851623,65.20595858323101,34.1927302143806,39.145523878436485,35.35120097377354,48.42187295510926,Quaxwell,14.056834459843092,Flamigo,0.9958737317535952
Clyde Drexler,90.5402225455601,89.57173835111742,36.439538259392,87.62465095642668,67.58364582981828,45.43815983395898,Grimmsnarl,19.076383376323445,Grimmsnarl,0.9973136940933776
Greg Anthony,53.0208669189996,47.65229860358438,48.23595263926064,88.74789243283851,56.14244290743866,24.184435476315382,Maractus,25.000325817183327,Piplup,0.9923547104421839
Rik Smits,68.68179632973035,95.84597916739898,46.2722486255783,36.81319937195408,47.172923685481976,27.32302032614104,Granbull,20.85122589052064,Golett,0.993724679954646
Dennis Rodman,87.11269763872504,3.729486934359354,53.84758472613786,47.74387419522806,56.22418033406034,15.542046369818836,Lickitung,22.88438552923653,Azumarill,0.9864717525968664
Luc Longley,61.58073536158166,51.09805093642839,75.62323584621849,51.579192470180125,44.16152787960221,27.135051960320105,Dartrix,22.527917921209458,Chesnaught,0.9936071137929837
Doug West,58.216781770232096,21.78724399878224,39.97642608742261,47.92604199957531,30.833910509957185,40.79677180211659,Nidorina,18.870859788368374,Raging Bolt,0.9893781132866001
Jim McIlvaine,40.21827326096403,8.041192375312958,62.57277036823045,8.60539878950024,47.09484619286225,51.75165087364182,Vullaby,26.750181965913505,Burmy (Plant Cloak),0.9863332839652177
Monty Williams,46.219049813781176,60.97541328171008,54.00697777165384,57.72358205240578,48.868476785646536,55.29272562729642,Dragonair,15.700963847181194,Charizard (Mega Charizard X),0.9985865348067979
Chris Whitney,51.18275336393334,59.53310854030231,47.62336402096936,88.2798824778881,40.83627471613144,52.66578234609425,Maractus,17.917706646267458,Toxtricity (Amped Form),0.9962361494028535
George McCloud,64.45418774584012,56.14912619658932,30.35014291177874,67.66421325524145,48.55148882680199,55.358270094210994,Stantler,20.353917522617376,Skiddo,0.9972020422606467
Gheorghe Muresan,58.71970324890024,71.23652565980663,64.19770645240271,8.39566578740126,57.5577495316492,44.890676882684026,Sawk,31.286549290834504,Heracross (Mega Heracross),0.9965164121621638
Mahmoud Abdul-Rauf,60.4500265925981,85.10717671140291,24.97354669364404,73.6435387533476,22.007979217768828,42.97554472409579,Mothim,21.851297931948793,Cubchoo,0.9951364732630869
Mario Elie,72.61852538320893,33.21867032884769,59.25478194459347,65.78016207209134,42.05404620179131,37.021885725268376,Crocalor,18.075337190091762,Skeledirge,0.9992491544289589
Dickey Simpkins,57.37322766680502,21.54345309702149,50.31818338284992,45.36281939396039,47.76508954308539,24.775282531368948,Swirlix,25.732719142435737,Tropius,0.9953235395595901
Marty Conlon,51.86152533565054,53.25796121365354,15.669830273050756,46.387002486393335,54.663690889662426,81.01194576455335,Persian,28.954099388364153,Furfrou,0.9869424345814172
Gary Payton,92.10667206316369,78.2961411506138,43.19583334551903,93.52700961188285,55.78619367105696,36.72069974003967,Wyrdeer,17.67341645475524,Wyrdeer,0.9947261199585494
Doug Christie,87.3665589436167,49.39662908282335,50.88562718432125,73.808485609767,66.65751801812264,65.15255532193939,Calyrex,16.69609678694931,Calyrex,0.9947953367904873
Carl Herrera,49.460557168398935,37.828869921132544,30.71761731189426,18.96082181973757,60.74785241597936,14.866284968167497,Seel,29.76558206049887,Muk,0.9845437440595791
Michael Smith,64.46842648908357,11.799280536111064,19.469548333446056,46.39242311198923,76.44911171269834,41.53924487618346,Noctowl,35.85453381220969,Noctowl,0.9916544281370467
