ID,Name,Form,Type1,Type2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,DisplayName,HP_PCT,ATTACK_PCT,DEFENSE_PCT,SPATK_PCT,SPDEF_PCT,SPEED_PCT
1,Bulbasaur,,Grass,Poison,318,45,49,49,65,65,45,1,Bulbasaur,14.5679012345679,15.06172839506173,18.765432098765434,48.18930041152264,43.58024691358025,23.456790123456788
2,Ivysaur,,Grass,Poison,405,60,62,63,80,80,60,1,Ivysaur,35.7201646090535,30.41152263374486,38.477366255144034,62.59259259259259,63.74485596707819,40.45267489711934
3,Venusaur,,Grass,Poison,525,80,82,83,100,100,80,1,Venusaur,69.58847736625515,54.773662551440324,65.30864197530865,79.7119341563786,84.93827160493828,62.63374485596708
4,Charmander,,Fire,,309,39,52,43,60,50,65,1,Charmander,5.802469135802469,19.54732510288066,12.716049382716049,40.781893004115226,22.098765432098766,46.46090534979424
5,Charmeleon,,Fire,,405,58,64,58,80,65,80,1,Charmeleon,30.987654320987655,31.646090534979425,30.69958847736626,62.59259259259259,43.58024691358025,62.63374485596708
6,Charizard,,Fire,Flying,534,78,84,78,109,85,100,1,Charizard,65.7201646090535,55.84362139917695,58.93004115226338,84.5679012345679,70.12345679012346,83.25102880658436
7,Squirtle,,Water,,314,44,48,65,50,64,43,1,Squirtle,12.181069958847738,14.5679012345679,41.64609053497942,27.037037037037038,40.82304526748971,20.82304526748971
8,Wartortle,,Water,,405,59,63,80,65,80,58,1,Wartortle,31.728395061728392,30.987654320987655,62.34567901234568,48.18930041152264,63.74485596707819,37.28395061728395
9,Blastoise,,Water,,530,79,83,100,85,105,78,1,Blastoise,66.5843621399177,55.349794238683124,81.6872427983539,67.61316872427983,88.18930041152264,60.41152263374485
10,Caterpie,,Bug,,195,45,30,35,20,20,45,1,Caterpie,14.5679012345679,3.909465020576132,5.3086419753086425,1.1934156378600824,0.3292181069958848,23.456790123456788
11,Metapod,,Bug,,205,50,20,55,25,25,30,1,Metapod,21.193415637860085,0.9465020576131686,27.942386831275723,2.5925925925925926,1.3580246913580247,8.148148148148149
12,Butterfree,,Bug,Flying,395,60,45,50,90,80,70,1,Butterfree,35.7201646090535,12.098765432098766,21.604938271604937,71.19341563786008,63.74485596707819,52.59259259259259
13,Weedle,,Bug,Poison,195,40,35,30,20,20,50,1,Weedle,8.271604938271606,5.967078189300412,2.5925925925925926,1.1934156378600824,0.3292181069958848,29.46502057613169
